Nombre,Juego,Entrega,Desde,Hasta,Dist. Estimada,Dist. Aceptada,Vel. Máx,Modalidad,Beneficio,Multas,Daños,Tiempo Real,Fecha,Distancia_Num
Jose Naukin,ATS,Estándar,yara,Sunshine Crops,255 km,233 km,126 km/h,Real,8 087 $,1 280 $,8,2255,2026-08-09,233
zaren_col,ATS,Estándar,Brownsville Port,Avalanche Steel,4 223 km,4 266 km,128 km/h,Real,101 033 $,0 $,9,7277,2026-08-09,4266
Guardian777,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 324 km,130 km/h,Real,3 446 $,0 $,2,3495,2026-08-09,2324
Ayala.jav,ATS,Estándar,Starbridge,Haddock Shipyard,4 316 km,5 117 km,130 km/h,Real,224 730 $,0 $,2,9229,2026-08-09,5117
profeta(CT),ATS,Estándar,Tidbit,Bitumen,2 221 km,2 387 km,130 km/h,Real,24 335 $,0 $,0,3595,2026-08-09,2387
DON ISMA,ATS,Estándar,Tidbit,Bitumen,2 221 km,2 393 km,129 km/h,Real,24 335 $,0 $,0,3575,2026-08-09,2393
Brayan Gamer,ATS,Estándar,Tidbit,Deepgrove,3 220 km,3 228 km,129 km/h,Real,3 763 $,0 $,8,5142,2026-08-09,3228
MALA INFLUENCIA,ATS,Estándar,Tidbit,Bitumen,2 221 km,2 390 km,129 km/h,Real,24 335 $,0 $,0,3654,2026-08-09,2390
-Gio-,ATS,Estándar,Tidbit,Bitumen,2 221 km,2 435 km,129 km/h,Real,7 411 $,0 $,0,3763,2026-08-09,2435
Jose Naukin,ATS,Estándar,yara,Bushnell Farms,137 km,129 km,125 km/h,Real,7 109 $,5 000 $,0,1585,2026-08-09,129
CRISTHIAN 926,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 272 km,130 km/h,Real,89 229 $,0 $,0,3588,2026-08-09,2272
zaren_col,ATS,Estándar,Avalanche Steel,42 Print,2 182 km,2 186 km,129 km/h,Real,56 130 $,0 $,7,3609,2026-08-09,2186
Guardian777,ATS,Estándar,Peterbilt,Coastline Mining,2 140 km,2 675 km,129 km/h,Real,2 845 $,0 $,6,4299,2026-08-09,2675
MALA INFLUENCIA,ATS,Estándar,Wallbert,Coastline Mining,2 141 km,2 676 km,129 km/h,Real,14 009 $,0 $,0,4225,2026-08-09,2676
CRISTHIAN 926,ATS,Estándar,Bitumen,Coastline Mining,2 064 km,2 285 km,130 km/h,Real,33 972 $,0 $,1,3743,2026-08-09,2285
-Gio-,ATS,Estándar,Wallbert,Coastline Mining,2 141 km,2 676 km,129 km/h,Real,13 056 $,0 $,11,4238,2026-08-09,2676
profeta(CT),ATS,Estándar,Wallbert,Coastline Mining,2 141 km,2 676 km,130 km/h,Real,3 882 $,0 $,0,4346,2026-08-09,2676
DON ISMA,ATS,Estándar,Wallbert,Coastline Mining,2 141 km,2 676 km,130 km/h,Real,13 119 $,0 $,1,4301,2026-08-09,2676
Guardian777,ATS,Estándar,Kenworth,Deepgrove,2 983 km,3 716 km,130 km/h,Real,4 570 $,0 $,3,5964,2026-08-09,3716
-Gio-,ATS,Estándar,Kenworth,Deepgrove,2 928 km,3 660 km,130 km/h,Real,8 333 $,0 $,3,5983,2026-08-09,3660
CRISTHIAN 926,ATS,Estándar,Kenworth,Deepgrove,2 983 km,3 729 km,130 km/h,Real,50 921 $,0 $,0,6378,2026-08-09,3729
MALA INFLUENCIA,ATS,Estándar,Kenworth,Deepgrove,2 983 km,3 729 km,129 km/h,Real,8 487 $,0 $,3,6137,2026-08-09,3729
DON ISMA,ATS,Estándar,Kenworth,Deepgrove,3 632 km,3 731 km,130 km/h,Real,11 155 $,0 $,1,6109,2026-08-09,3731
profeta(CT),ATS,Estándar,Kenworth,Deepgrove,2 983 km,3 727 km,130 km/h,Real,4 603 $,0 $,3,6060,2026-08-09,3727
zaren_col,ATS,Estándar,Kenworth,Deepgrove,3 688 km,3 738 km,130 km/h,Real,56 595 $,0 $,0,6286,2026-08-09,3738
Ayala.jav,ATS,Estándar,Haddock Shipyard,Starbridge,4 305 km,4 714 km,129 km/h,Real,87 589 $,0 $,16,8573,2026-08-09,4714
ReyMisterio,ATS,Estándar,Avalanche Steel,Tidbit,4 217 km,4 031 km,129 km/h,Real,140 018 $,0 $,9,6479,2026-08-09,4031
Ayala.jav,ATS,Estándar,Starbridge,Bushnell Farms,1 227 km,1 223 km,129 km/h,Real,20 024 $,0 $,1,2242,2026-08-09,1223
ZayCruz,ATS,Estándar,soc_tuc1,soc_tuc1,644 km,644 km,90 km/h,Real,53 636 $,0 $,0,2441,2026-08-09,644
El puma (CT),ATS,Estándar,Rock Port,Sea Horizon,5 058 km,6 038 km,130 km/h,Real,0 $,0 $,78,9663,2026-08-09,6038
andres guerra,ATS,Estándar,Bitumen,Bitumen,2 331 km,2 344 km,125 km/h,Real,7 605 $,16 900 $,4,5971,2026-08-09,2344
-Gio-,ATS,Estándar,Kenworth,NAMIQ,3 846 km,4 808 km,128 km/h,Real,12 666 $,0 $,0,8722,2026-08-09,4808
andresnintendo,ATS,Estándar,Haddock Shipyard,Haddock Shipyard,3 631 km,3 959 km,130 km/h,Real,149 171 $,0 $,1,7447,2026-08-09,3959
MALA INFLUENCIA,ATS,Estándar,Deepgrove,Taylor Construction Group,4 157 km,4 762 km,129 km/h,Real,42 256 $,0 $,2,7344,2026-08-09,4762
Jose Naukin,ATS,Estándar,American Lines,Vortex,2 034 km,2 032 km,128 km/h,Real,100 697 456 $,4 400 $,0,3667,2026-08-09,2032
MALA INFLUENCIA,ATS,Estándar,Taylor Construction Group,Dr. Hammer,2 069 km,2 177 km,129 km/h,Real,35 650 $,0 $,0,3359,2026-08-09,2177
BlGFOOT,ATS,Estándar,Wallbert,Wallbert,4 643 km,5 643 km,130 km/h,Real,600 $,0 $,0,8828,2026-08-09,5643
MALA INFLUENCIA,ATS,Estándar,Dr. Hammer,Peterbilt,2 788 km,3 122 km,129 km/h,Real,18 460 $,0 $,0,5084,2026-08-09,3122
CRAZY_GAMER_16,ATS,Estándar,huevos_oro,Home Store,168 km,173 km,98 km/h,Real,923 $,0 $,1,1960,2026-08-09,173
profeta(CT),ATS,Estándar,Wallbert,Home Store,2 092 km,2 091 km,130 km/h,Real,3 737 $,0 $,2,3217,2026-08-09,2091
BlGFOOT,ATS,Estándar,Wallbert,Wallbert,4 635 km,4 634 km,130 km/h,Real,600 $,0 $,0,6713,2026-08-09,4634
Jose Naukin,ATS,Estándar,Venture,Home Store,987 km,1 122 km,126 km/h,Real,37 124 $,9 220 $,1,4274,2026-08-10,1122
Jose Naukin,ATS,Estándar,Vortex,American Lines,2 295 km,2 559 km,129 km/h,Real,100 843 248 $,10 100 $,1,5030,2026-08-10,2559
profeta(CT),ATS,Estándar,Lonestar Forwarding,Plaster & Sons,3 739 km,3 749 km,130 km/h,Real,0 $,0 $,34,6458,2026-08-10,3749
Old_picotto,ATS,Wotr,MWM,Page & Price Paper,3 249 km,3 245 km,112 km/h,Real,71 259 $,0 $,0,6820,2026-08-10,3245
Jose Naukin,ATS,Estándar,Port of SF,18 Wheels,194 km,222 km,129 km/h,Real,3 596 $,1 400 $,0,783,2026-08-10,222
-Gio-,ATS,Estándar,NAMIQ,Charged,4 473 km,5 351 km,129 km/h,Real,84 409 $,0 $,7,9568,2026-08-10,5351
Mr_Gerzon,ATS,Estándar,Venture,Gallon Oil,2 307 km,2 315 km,129 km/h,Real,77 731 $,0 $,2,4414,2026-08-10,2315
MALA INFLUENCIA,ATS,Estándar,Kenworth,Coastline Mining,2 205 km,2 204 km,129 km/h,Real,14 411 $,0 $,0,3515,2026-08-10,2204
andresnintendo,ATS,Estándar,big_cola,Norrfood,416 km,418 km,109 km/h,Real,1 771 $,0 $,0,4653,2026-08-10,418
Mr_Gerzon,ATS,Estándar,Gallon Oil,Coastline Mining,931 km,939 km,129 km/h,Real,0 $,0 $,31,2493,2026-08-10,939
Guardian777,ATS,Estándar,Deepgrove,Wallbert,3 015 km,3 712 km,130 km/h,Real,2 802 $,0 $,11,6020,2026-08-10,3712
Brayan Gamer,ATS,Estándar,Deepgrove,Tidbit,3 158 km,3 100 km,130 km/h,Real,3 877 $,0 $,7,5127,2026-08-10,3100
Brayan Gamer,ATS,Estándar,Enterpriser,AI Automotive,226 km,224 km,129 km/h,Real,914 $,0 $,0,366,2026-08-10,224
CRISTHIAN 926,ATS,Estándar,Sunshine Crops,AI Automotive,2 041 km,2 044 km,130 km/h,Real,32 104 $,0 $,0,3215,2026-08-10,2044
Brayan Gamer,ATS,Estándar,Peterbilt,AI Automotive,83 km,83 km,129 km/h,Real,714 $,0 $,0,209,2026-08-10,83
El puma (CT),ATS,Estándar,Wallbert,AI Automotive,1 138 km,1 423 km,130 km/h,Real,19 160 $,0 $,0,2773,2026-08-10,1423
DON ISMA,ATS,Estándar,Tidbit,AI Automotive,2 222 km,2 778 km,129 km/h,Real,24 031 $,0 $,1,4413,2026-08-10,2778
-Gio-,ATS,Estándar,Tidbit,AI Automotive,2 223 km,2 778 km,129 km/h,Real,25 096 $,0 $,0,4463,2026-08-10,2778
MALA INFLUENCIA,ATS,Estándar,Tidbit,AI Automotive,2 223 km,2 778 km,130 km/h,Real,25 096 $,0 $,0,4476,2026-08-10,2778
Mr_Gerzon,ATS,Estándar,Coastline Mining,42 Print,2 229 km,2 233 km,129 km/h,Real,145 904 $,0 $,0,4082,2026-08-10,2233
Ayala.jav,ATS,Estándar,Bushnell Farms,Central Civil Works,3 242 km,3 586 km,128 km/h,Real,37 854 $,0 $,8,6940,2026-08-10,3586
Guardian777,ATS,Estándar,Bushnell Farms,42 Print,1 399 km,1 683 km,130 km/h,Real,2 112 $,0 $,5,3425,2026-08-10,1683
Guardian777,ATS,Estándar,Tidbit,SellGoods,1 426 km,1 636 km,129 km/h,Real,2 062 $,0 $,5,2746,2026-08-10,1636
MALA INFLUENCIA,ATS,Estándar,AI Automotive,Mary's Cotton,2 703 km,2 693 km,130 km/h,Real,59 691 $,0 $,0,4208,2026-08-10,2693
Guardian777,ATS,Estándar,Apade,SellGoods,792 km,796 km,129 km/h,Real,1 364 $,0 $,5,1748,2026-08-10,796
Yenny,ATS,Estándar,Peterbilt,SellGoods,1 282 km,1 276 km,127 km/h,Real,60 176 $,12 000 $,3,2709,2026-08-10,1276
Ayala.jav,ATS,Estándar,Peterbilt,42 Print,3 037 km,3 040 km,129 km/h,Real,49 755 $,0 $,1,5628,2026-08-10,3040
CRAZY_GAMER_16,ATS,Estándar,Steeler,MWM,4 547 km,5 016 km,130 km/h,Real,44 405 $,0 $,2,8965,2026-08-10,5016
El puma (CT),ATS,Estándar,Rock Port,Sea Horizon,5 059 km,6 059 km,130 km/h,Real,97 334 $,0 $,0,9651,2026-08-10,6059
MALA INFLUENCIA,ATS,Estándar,Kenworth,Coastline Mining,2 524 km,2 529 km,130 km/h,Real,32 220 $,0 $,0,3848,2026-08-10,2529
CRAZY_GAMER_16,ATS,Estándar,terminales,terminales,198 km,198 km,101 km/h,Real,2 895 $,0 $,4,1719,2026-08-10,198
Mr_Gerzon,ATS,Estándar,Faraday,Buildmaster Manufacturing Co.,732 km,915 km,128 km/h,Real,11 142 $,0 $,0,1729,2026-08-10,915
BlGFOOT,ATS,Estándar,Wallbert,Wallbert,4 643 km,5 643 km,126 km/h,Real,600 $,0 $,0,8487,2026-08-10,5643
Ing.Juancho,ATS,Estándar,SellGoods,SellGoods,4 370 km,4 532 km,129 km/h,Real,173 744 $,0 $,0,11008,2026-08-10,4532
ReyMisterio,ATS,Estándar,Global Mills,Rail Export,4 848 km,5 848 km,129 km/h,Real,155 083 $,0 $,0,9191,2026-08-10,5848
BlGFOOT,ATS,Estándar,Wallbert,Wallbert,4 635 km,5 635 km,130 km/h,Real,515 $,0 $,0,8340,2026-08-10,5635
DON ISMA,ATS,Estándar,pda_bus,terminales,424 km,366 km,100 km/h,Real,9 299 $,0 $,0,2795,2026-08-10,366
BlGFOOT,ATS,Estándar,Wallbert,Wallbert,4 643 km,4 656 km,129 km/h,Real,600 $,0 $,0,6664,2026-08-11,4656
ReyMisterio,ATS,Estándar,Wallbert,Fish Tail Food,5 086 km,6 086 km,129 km/h,Real,7 339 $,0 $,0,9828,2026-08-11,6086
Mr_Gerzon,ATS,Estándar,Kenworth,Coastline Mining,2 477 km,2 488 km,129 km/h,Real,76 161 $,0 $,7,4346,2026-08-11,2488
CT/Cristian,ATS,Estándar,Apade,Home Store,1 892 km,2 045 km,130 km/h,Real,26 348 $,0 $,1,4020,2026-08-11,2045
Jose Naukin,ATS,Estándar,Farmer's Barn,Gallon Oil,2 km,3 km,63 km/h,Real,12 297 $,0 $,0,167,2026-08-11,3
Jose Naukin,ATS,Estándar,Farmer's Barn,du_farm1,87 km,42 km,76 km/h,Real,4 706 498 $,2 060 $,0,517,2026-08-11,42
Jose Naukin,ATS,Estándar,Steeler,Plaster & Sons,66 km,38 km,86 km/h,Real,100 034 216 $,260 $,0,591,2026-08-11,38
Mr_Gerzon,ATS,Estándar,Coastline Mining,Alis Cars,2 487 km,2 498 km,129 km/h,Real,111 526 $,0 $,0,4461,2026-08-11,2498
ZayCruz,ATS,Estándar,Syntetico,Steeler,5 540 km,5 527 km,130 km/h,Real,0 $,0 $,51,11889,2026-08-11,5527
Mr_Gerzon,ATS,Estándar,Grand Pastures,GARC,436 km,442 km,126 km/h,Real,17 534 $,0 $,0,880,2026-08-11,442
Jose Naukin,ATS,Estándar,Avalanche Steel,WDS,951 km,1 118 km,115 km/h,Real,10 831 $,9 620 $,0,2921,2026-08-11,1118
Mr_Gerzon,ATS,Estándar,Chicago International Airport,Mary's Cotton,1 564 km,1 558 km,127 km/h,Real,94 406 $,0 $,0,2620,2026-08-11,1558
DON ISMA,ATS,Estándar,Apade,Mary's Cotton,4 270 km,4 283 km,130 km/h,Real,14 296 $,0 $,0,6412,2026-08-11,4283
Brayan Gamer,ATS,Estándar,Olthon Homes,Farmer's Barn,1 847 km,1 845 km,130 km/h,Real,2 248 874 $,0 $,0,3535,2026-08-11,1845
Jose Naukin,ATS,Estándar,WDS,Venture,1 306 km,1 309 km,129 km/h,Real,48 507 $,2 300 $,4,2230,2026-08-11,1309
Camilo Gang,ATS,Estándar,Plaster & Sons,Global Mills,2 641 km,2 992 km,130 km/h,Real,3 184 $,0 $,15,5453,2026-08-11,2992
Ayala.jav,ATS,Estándar,42 Print,Haddock Shipyard,3 058 km,3 064 km,130 km/h,Real,177 027 $,0 $,0,5743,2026-08-11,3064
CRISTHIAN 926,ATS,Estándar,AI Automotive,Haddock Shipyard,4 004 km,4 166 km,130 km/h,Real,34 644 $,0 $,0,7128,2026-08-11,4166
Guardian777,ATS,Estándar,Farmer's Barn,Coastline Mining,2 013 km,2 119 km,129 km/h,Real,2 724 $,0 $,6,3510,2026-08-11,2119
Jose Naukin,ATS,Estándar,Ultimus,Chicago International Airport,1 km,2 km,65 km/h,Real,5 304 $,0 $,0,66,2026-08-11,2
Jose Naukin,ATS,Estándar,X-Tech Machinery,Rock Port,276 km,3 km,98 km/h,Real,2 288 468 $,0 $,0,92,2026-08-11,3
Mr_Gerzon,ATS,Estándar,Mary's Cotton,HMS Machinery,2 617 km,2 738 km,127 km/h,Real,104 263 $,0 $,4,4877,2026-08-11,2738
Brayan Gamer,ATS,Estándar,Farmer's Barn,Page & Price Paper,1 990 km,1 993 km,130 km/h,Real,6 267 145 $,0 $,0,3429,2026-08-11,1993
CRISTHIAN 926,ATS,Estándar,Haddock Shipyard,Aqua Vista,1 854 km,1 855 km,130 km/h,Real,29 233 $,0 $,0,3114,2026-08-11,1855
Mr_Gerzon,ATS,Estándar,HMS Machinery,NAMIQ,3 266 km,3 303 km,128 km/h,Real,145 977 $,0 $,4,6074,2026-08-11,3303
CRISTHIAN 926,ATS,Estándar,Aqua Vista,AI Automotive,2 340 km,2 357 km,130 km/h,Real,36 737 $,0 $,0,4180,2026-08-11,2357
Mr_Gerzon,ATS,Estándar,Flavorfair,Tidbit,3 075 km,3 072 km,128 km/h,Real,128 602 $,0 $,0,5566,2026-08-11,3072
zaren_col,ATS,Estándar,Deepgrove,42 Print,2 140 km,2 085 km,129 km/h,Real,62 855 $,0 $,0,3462,2026-08-11,2085
andresnintendo,ATS,Estándar,big_cola,Bitumen,297 km,279 km,92 km/h,Real,905 $,0 $,0,4636,2026-08-11,279
CT/Cristian,ATS,Estándar,Wallbert,SellGoods,1 981 km,2 303 km,129 km/h,Real,0 $,0 $,34,4690,2026-08-11,2303
Mr_Gerzon,ATS,Wotr,Tidbit,GARC,3 538 km,3 588 km,107 km/h,Real,94 854 $,0 $,0,7350,2026-08-11,3588
Mr_Gerzon,ATS,Estándar,GARC,GARC,434 km,519 km,128 km/h,Real,18 255 $,0 $,0,1267,2026-08-11,519
Mr_Gerzon,ATS,Estándar,Rock Port,Apade,1 553 km,1 557 km,129 km/h,Real,98 067 $,0 $,0,2851,2026-08-11,1557
ZayCruz,ATS,Estándar,Drake Cars,Angel City Airport,3 246 km,3 235 km,130 km/h,Real,0 $,0 $,28,7132,2026-08-12,3235
MALA INFLUENCIA,ATS,Estándar,Plaster & Sons,Epro Gas,2 506 km,2 533 km,129 km/h,Real,21 061 $,0 $,12,4470,2026-08-12,2533
Guardian777,ATS,Estándar,Vortex,Sea Horizon,6 113 km,7 113 km,130 km/h,Real,0 $,0 $,100,12468,2026-08-12,7113
Mr_Gerzon,ETS2,Estándar,SellPlan,Sanbuilders,440 km,412 km,100 km/h,Real,17 285 €,0 €,0,1253,2026-08-12,412
CRISTHIAN 926,ATS,Estándar,AI Automotive,Aron,1 974 km,1 975 km,130 km/h,Real,23 934 $,0 $,5,3646,2026-08-12,1975
Jose Naukin,ATS,Estándar,Taylor Construction Group,X-Tech Machinery,2 220 km,2 379 km,128 km/h,Real,101 178 765 $,10 700 $,32,4679,2026-08-12,2379
CRISTHIAN 926,ATS,Estándar,Enterpriser,Deepgrove,1 446 km,1 449 km,129 km/h,Real,4 936 $,0 $,0,2856,2026-08-12,1449
Ayala.jav,ATS,Estándar,42 Print,Deepgrove,2 138 km,2 138 km,129 km/h,Real,26 690 $,0 $,1,4096,2026-08-12,2138
Guardian777,ATS,Estándar,Enterpriser,Deepgrove,1 446 km,1 447 km,129 km/h,Real,2 609 $,0 $,1,2933,2026-08-12,1447
Undertaker03,ATS,Estándar,Coastline Mining,Bushnell Farms,1 897 km,2 071 km,130 km/h,Real,17 113 $,0 $,1,3469,2026-08-12,2071
Mr_Gerzon,ATS,Estándar,Coastline Mining,Bushnell Farms,1 897 km,2 063 km,127 km/h,Real,18 514 $,0 $,0,3457,2026-08-12,2063
Brayan Gamer,ATS,Estándar,Tidbit,WDS,1 226 km,1 317 km,130 km/h,Real,2 829 647 $,0 $,0,2507,2026-08-12,1317
Undertaker03,ETS2,Estándar,Ika Bohag,EuroGoodies,472 km,417 km,81 km/h,Real,20 610 €,0 €,0,1737,2026-08-12,417
Mr_Gerzon,ETS2,Estándar,Ika Bohag,EuroGoodies,472 km,416 km,95 km/h,Real,15 199 €,0 €,2,1741,2026-08-12,416
Brayan Gamer,ATS,Estándar,Farmer's Barn,Farmer's Barn,1 208 km,1 125 km,130 km/h,Real,2 307 577 $,0 $,0,2527,2026-08-12,1125
Mr_Gerzon,ETS2,Estándar,NS Oil,MS Stein,68 km,68 km,76 km/h,Real,3 129 €,0 €,0,827,2026-08-12,68
Brayan Gamer,ATS,Estándar,Coastline Mining,Coastline Mining,939 km,824 km,130 km/h,Real,4 075 672 $,0 $,1,1770,2026-08-12,824
Mr_Gerzon,ETS2,Estándar,Trameri,Trameri,461 km,576 km,97 km/h,Real,18 187 €,0 €,0,1742,2026-08-12,576
CRISTHIAN 926,ATS,Estándar,Deepgrove,Aqua Vista,3 722 km,4 042 km,130 km/h,Real,38 168 $,0 $,19,7081,2026-08-12,4042
Ayala.jav,ATS,Estándar,Starbridge,Central Civil Works,3 425 km,3 346 km,129 km/h,Real,59 939 $,0 $,0,6228,2026-08-12,3346
Mr_Gerzon,ETS2,Estándar,Trameri,DomDepo,728 km,910 km,99 km/h,Real,29 149 €,0 €,0,3658,2026-08-12,910
Camilo Gang,ATS,Estándar,Enterpriser,Lonestar Forwarding,1 893 km,1 909 km,130 km/h,Real,14 720 $,0 $,11,3237,2026-08-12,1909
Ing.Juancho,ATS,Estándar,Bushnell Farms,X-Tech Machinery,2 374 km,2 391 km,130 km/h,Real,133 053 $,0 $,0,4554,2026-08-12,2391
Old_picotto,ATS,Wotr,Lumen auto,Alis Cars,2 430 km,2 586 km,123 km/h,Real,151 240 $,0 $,0,5777,2026-08-12,2586
zaren_col,ATS,Estándar,42 Print,Chuck & Jack's,2 017 km,2 018 km,130 km/h,Real,59 276 $,0 $,0,3204,2026-08-12,2018
CT/Cristian,ATS,Estándar,Beaumont Freight Terminal,Starbridge,3 960 km,4 106 km,130 km/h,Real,10 936 $,0 $,13,7224,2026-08-12,4106
Mr_Gerzon,ATS,Estándar,Plaster & Sons,Plaster & Sons,2 950 km,3 018 km,129 km/h,Real,94 149 $,0 $,2,5529,2026-08-12,3018
Mr_Gerzon,ATS,Estándar,Plaster & Sons,Page & Price Paper,435 km,544 km,127 km/h,Real,5 956 $,0 $,0,2118,2026-08-12,544
Mr_Gerzon,ATS,Estándar,Page & Price Paper,Global Mills,672 km,839 km,127 km/h,Real,2 565 $,0 $,0,2219,2026-08-12,839
duvanpamplona88,ATS,Estándar,agrocol,bodegon,51 km,52 km,85 km/h,Real,641 $,0 $,0,907,2026-08-12,52
MALA INFLUENCIA,ATS,Estándar,Sunshine Crops,ara,429 km,477 km,130 km/h,Real,0 $,0 $,77,3420,2026-08-12,477
Mr_Gerzon,ATS,Estándar,Global Mills,Venture,3 012 km,3 454 km,127 km/h,Real,125 173 $,0 $,1,7076,2026-08-12,3454
MALA INFLUENCIA,ATS,Estándar,Agrominta UAB,ara,183 km,174 km,129 km/h,Real,2 242 $,0 $,4,1692,2026-08-12,174
Undertaker03,ETS2,Estándar,Byggpro,Norse Rail,465 km,425 km,84 km/h,Real,5 583 €,0 €,1,1813,2026-08-13,425
Mr_Gerzon,ETS2,Estándar,Byggpro,Norse Rail,465 km,427 km,85 km/h,Real,6 363 €,400 €,0,1871,2026-08-13,427
Mr_Gerzon,ETS2,Estándar,Norse Rail,GNT,351 km,351 km,83 km/h,Real,10 047 €,400 €,0,1520,2026-08-13,351
Undertaker03,ETS2,Estándar,Norse Rail,GNT,351 km,351 km,87 km/h,Real,9 361 €,0 €,0,1536,2026-08-13,351
Undertaker03,ETS2,Estándar,GNT,Bjork,454 km,433 km,83 km/h,Real,49 630 €,0 €,0,2447,2026-08-13,433
Brayan Gamer,ATS,Estándar,Eddy's,WDS,1 204 km,1 071 km,129 km/h,Real,4 221 604 $,0 $,0,2359,2026-08-13,1071
Mr_Gerzon,ETS2,Estándar,GNT,Bjork,454 km,435 km,85 km/h,Real,52 279 €,0 €,0,2486,2026-08-13,435
ZayCruz,ATS,Estándar,Wallbert,Enterpriser,2 927 km,3 577 km,129 km/h,Real,0 $,0 $,31,8026,2026-08-13,3577
Brayan Gamer,ATS,Estándar,WDS,Coastline Mining,1 049 km,1 005 km,129 km/h,Real,7 215 956 $,0 $,5,2288,2026-08-13,1005
Ayala.jav,ATS,Estándar,Central Civil Works,Deepgrove,3 411 km,3 535 km,129 km/h,Real,57 038 $,0 $,1,6788,2026-08-13,3535
MALA INFLUENCIA,ATS,Estándar,Wallbert,US Beverages & Bottling,4 207 km,4 156 km,129 km/h,Real,136 489 $,0 $,1,6280,2026-08-13,4156
DON ISMA,ATS,Estándar,Wallbert,US Beverages & Bottling,4 172 km,4 260 km,129 km/h,Real,205 536 $,0 $,0,6555,2026-08-13,4260
Brayan Gamer,ATS,Estándar,Plaster & Sons,Plaster & Sons,970 km,852 km,130 km/h,Real,6 358 609 $,0 $,2,2458,2026-08-13,852
CRISTHIAN 926,ATS,Estándar,Starbridge,42 Print,2 034 km,2 034 km,130 km/h,Real,28 935 $,0 $,2,3013,2026-08-13,2034
Brayan Gamer,ATS,Estándar,Plaster & Sons,Sunshine Crops,595 km,508 km,133 km/h,Carrera,3 493 500 $,0 $,3,1076,2026-08-13,508
andresnintendo,ATS,Estándar,ecopetrol,texaco,463 km,461 km,103 km/h,Real,1 382 $,0 $,0,6290,2026-08-13,461
Ayala.jav,ATS,Estándar,Starbridge,42 Print,2 073 km,2 066 km,129 km/h,Real,33 942 $,0 $,1,3505,2026-08-13,2066
CRISTHIAN 926,ATS,Estándar,42 Print,WP,2 669 km,2 791 km,130 km/h,Real,32 981 $,0 $,5,4512,2026-08-13,2791
Mr_Gerzon,ETS2,Estándar,NS Oil,ITCC,294 km,288 km,81 km/h,Real,177 €,0 €,0,1436,2026-08-13,288
Camilo Gang,ATS,Estándar,Deepgrove,Coastline Mining,2 102 km,2 102 km,130 km/h,Real,6 757 $,0 $,1,3882,2026-08-13,2102
Camilo Gang,ATS,Estándar,Kenworth,Gallon Oil,745 km,744 km,130 km/h,Real,12 630 $,0 $,0,1364,2026-08-13,744
Old_picotto,ATS,Wotr,Alis Cars,Lumen auto,2 500 km,2 498 km,110 km/h,Real,90 060 $,0 $,0,5657,2026-08-13,2498
andresnintendo,ATS,Estándar,big_cola,Steeler,398 km,368 km,98 km/h,Real,2 988 $,0 $,0,4758,2026-08-13,368
MALA INFLUENCIA,ATS,Estándar,Avalanche Steel,Haddock Shipyard,4 974 km,5 974 km,130 km/h,Real,62 743 $,0 $,0,9262,2026-08-13,5974
duvanpamplona88,ATS,Estándar,Peterbilt,Eddy's,2 095 km,2 090 km,130 km/h,Real,25 069 $,0 $,9,3688,2026-08-13,2090
CT/Cristian,ATS,Estándar,Wallbert,Wallbert,2 012 km,2 010 km,130 km/h,Real,29 516 $,0 $,1,3680,2026-08-13,2010
Undertaker03,ATS,Estándar,Drake Cars,Deepgrove,2 849 km,2 902 km,129 km/h,Real,38 819 $,0 $,16,5779,2026-08-13,2902
Mr_Gerzon,ATS,Estándar,Drake Cars,Deepgrove,2 849 km,2 895 km,129 km/h,Real,95 904 $,0 $,4,5898,2026-08-13,2895
duvanpamplona88,ATS,Estándar,Eddy's,AI Automotive,2 369 km,2 375 km,129 km/h,Real,4 232 $,0 $,0,3827,2026-08-13,2375
Undertaker03,ATS,Estándar,Deepgrove,Aron,2 224 km,2 352 km,129 km/h,Real,75 395 $,0 $,3,4315,2026-08-13,2352
Old_picotto,ATS,Wotr,Coastline Mining,Enterpriser,2 134 km,2 151 km,110 km/h,Real,56 294 $,0 $,0,4804,2026-08-13,2151
Mr_Gerzon,ETS2,Estándar,WGCC,Polaris Lines,1 316 km,234 km,90 km/h,Real,207 €,0 €,0,1208,2026-08-14,234
MALA INFLUENCIA,ATS,Estándar,Wallbert,Deepgrove,4 062 km,4 706 km,130 km/h,Real,191 911 $,0 $,6,7470,2026-08-14,4706
Undertaker03,ATS,Estándar,Pickit,Deepgrove,2 314 km,2 333 km,128 km/h,Real,39 755 $,0 $,0,4032,2026-08-14,2333
ZayCruz,ATS,Estándar,Johnson and Smith,Western Star,3 909 km,3 950 km,129 km/h,Real,0 $,0 $,33,9100,2026-08-14,3950
CT/Cristian,ATS,Estándar,Pickit,Deepgrove,2 314 km,2 340 km,127 km/h,Real,39 755 $,0 $,0,4055,2026-08-14,2340
profeta(CT),ATS,Estándar,Venture,Deepgrove,1 845 km,1 845 km,128 km/h,Real,106 338 $,0 $,0,3134,2026-08-14,1845
DON ISMA,ATS,Estándar,Wallbert,Deepgrove,4 681 km,4 696 km,129 km/h,Real,273 597 $,0 $,2,7533,2026-08-14,4696
